target_id	length	eff_length	est_counts	tpm
SSTP_0000011000.1	3972	3804.63	1660	4.31573
SSTP_0000011100.1	2715	2547.63	69927	271.499
SSTP_0000011200.1	4266	4098.63	13788.1	33.2755
SSTP_0000011300.1	1209	1041.63	49	0.465309
SSTP_0000011400.1	1704	1536.63	1580	10.1706
SSTP_0000011500.1	1125	957.63	13824	142.789
SSTP_0000011600.1	1509	1341.63	1496	11.0296
SSTP_0000011700.1	1335	1167.63	5529	46.8382
SSTP_0000011800.1	1947	1779.63	3543	19.6925
SSTP_0000011900.1	1470	1302.63	3028	22.9929
SSTP_0000012000.1	276	117.165	41	3.46134
SSTP_0000012100.1	954	786.63	4	0.0502978
SSTP_0000012200.1	657	489.685	2	0.0403992
SSTP_0000012300.1	630	462.685	0	0
SSTP_0000012400.1	2034	1866.63	2	0.0105982
SSTP_0000012500.1	1518	1350.63	2	0.0146471
SSTP_0000012600.1	1299	1131.63	261	2.28137
SSTP_0000012700.1	2133	1965.63	22629	113.873
SSTP_0000012800.1	1809	1641.63	3223	19.4198
SSTP_0000012900.1	852	684.63	71	1.0258
SSTP_0000013000.1	5814	5646.63	10506	18.4038
SSTP_0000013100.1	2250	2082.63	6347	30.145
SSTP_0000013200.1	2292	2124.63	1692	7.87728
SSTP_0000013300.1	2688	2520.63	4512	17.7059
SSTP_0000013400.1	2172	2004.63	19253	94.9999
SSTP_0000013500.1	4689	4521.63	12224	26.741
SSTP_0000013600.1	1974	1806.63	656	3.59165
SSTP_0000013700.1	339	175.164	468	26.4278
SSTP_0000013800.1	3567	3399.63	2862	8.32716
SSTP_0000013900.1	759	591.66	7787	130.184
SSTP_0000014000.1	2292	2124.63	5598	26.062
SSTP_0000014100.1	1146	978.63	5663	57.2383
SSTP_0000014200.1	1461	1293.63	103	0.787565
SSTP_0000014300.1	2505	2337.63	174	0.736262
SSTP_0000014400.1	1827	1659.63	6838	40.7546
SSTP_0000014500.1	645	477.685	2254	46.6736
SSTP_0000014600.1	792	624.63	1057	16.7383
SSTP_0000014700.1	453	286.408	384	13.2619
SSTP_0000014800.1	2400	2232.63	3453	15.2981
SSTP_0000014900.1	1356	1188.63	1614	13.4312
SSTP_0000015000.1	1398	1230.63	93	0.747506
SSTP_0000015050.1	225	73.7428	9	1.20721
SSTP_0000015100.1	231	78.5499	432	54.3997
SSTP_0000015200.1	1047	879.63	83	0.933334
SSTP_0000015300.1	222	71.3423	73.0057	10.122
SSTP_0000015400.1	666	498.685	382	7.57698
SSTP_0000015500.1	333	169.601	239	13.9389
SSTP_0000015600.1	1419	1251.63	12090.2	95.5468
SSTP_0000015700.1	1329	1161.63	3142	26.7545
SSTP_0000015800.1	1134	966.63	1770	18.1122
SSTP_0000015900.1	3387	3219.63	27158	83.4355
SSTP_0000016000.1	1893	1725.63	8730	50.041
SSTP_0000016100.1	1968	1800.63	3391	18.6278
SSTP_0000016200.1	1296	1128.63	23026	201.802
SSTP_0000016300.1	219	68.9795	2381	341.428
SSTP_0000016400.1	204	57.7187	16783	2876.15
SSTP_0000016500.1	486	319.075	9158.3	283.91
SSTP_0000016600.1	486	319.075	7500.7	232.524
SSTP_0000016650.1	183	42.9897	2354	541.627
SSTP_0000016700.1	333	169.601	5990	349.348
SSTP_0000016800.1	213	64.4263	3050	468.269
SSTP_0000016900.1	453	286.408	3476	120.048
SSTP_0000016950.1	174	37.1444	302	80.4216
SSTP_0001287200.1	537	369.853	512	13.693
SSTP_0001287300.1	180	40.9316	1000	241.658
SSTP_0001287400.1	447	280.45	338	11.9212
SSTP_0000017100.1	801	633.63	1734	27.069
SSTP_0000017200.1	552	384.853	26	0.668248
SSTP_0000017300.1	318	155.606	2	0.127134
SSTP_0000017400.1	489	322.059	401	12.3159
SSTP_0000017500.1	456	289.393	3571	122.056
SSTP_0000017600.1	2787	2619.63	7187	27.1373
SSTP_0000017700.1	5133	4965.63	532	1.05973
SSTP_0000017800.1	1242	1074.63	1838	16.9179
SSTP_0000017900.1	702	534.66	21688	401.237
SSTP_0000018000.1	870	702.63	12506	176.056
SSTP_0000018100.1	906	738.63	744	9.96334
SSTP_0000018200.1	2679	2511.63	720	2.83554
SSTP_0000018300.1	312	150.098	159	10.4781
SSTP_0000018400.1	1782	1614.63	1231	7.54126
SSTP_0000018500.1	1359	1191.63	1366	11.3388
SSTP_0000018600.1	1620	1452.63	23	0.156614
SSTP_0000018700.1	4320	4152.63	1041	2.47963
SSTP_0000018800.1	1269	1101.63	1239	11.1249
SSTP_0000018900.1	921	753.63	1639	21.512
SSTP_0000019000.1	375	209.67	65	3.06646
SSTP_0000019100.1	996	828.63	927	11.0657
SSTP_0000019200.1	204	57.7187	0	0
SSTP_0000019300.1	1243	1075.63	2122.53	19.5187
SSTP_0000019400.1	82	28.9113	11	3.76343
SSTP_0000019500.1	456	289.393	195	6.66507
SSTP_0000019600.1	1257	1089.63	17	0.154322
SSTP_0000019700.1	1709	1541.63	10583.7	67.907
SSTP_0000019800.1	864	696.63	931	13.2192
SSTP_0000019900.1	831	663.63	208	3.10025
SSTP_0000020000.1	756	588.66	97	1.62992
SSTP_0000020100.1	1206	1038.63	731	6.9617
SSTP_0000020200.1	693	525.66	7377	138.814
SSTP_0000020300.1	453	286.408	279	9.63559
SSTP_0000020400.1	2577	2409.63	1910	7.84047
SSTP_0000020500.1	1353	1185.63	3404	28.3988
SSTP_0000020600.1	1395	1227.63	20798	167.576
SSTP_0000020700.1	483	316.107	5	0.156457
SSTP_0000020900.1	2088	1920.63	3857	19.8639
SSTP_0000021000.1	2457	2289.63	4621	19.9632
SSTP_0000021100.1	543	375.853	422	11.1059
SSTP_0000021200.1	234	81.0513	1	0.122039
SSTP_0000021300.1	669	501.685	728	14.3536
SSTP_0000021400.1	351	186.573	545	28.8939
SSTP_0000021500.1	1749	1581.63	52	0.325205
SSTP_0000021700.1	627	459.685	3574	76.9048
SSTP_0000021800.1	2553	2385.63	6543	27.1289
SSTP_0000021900.1	1131	963.63	2619	26.8834
SSTP_0000022000.1	552	384.853	7291	187.392
SSTP_0000022100.1	606	438.729	1319	29.7377
SSTP_0000022200.1	3036	2868.63	7576	26.1231
SSTP_0000022300.1	3360	3192.63	5715	17.7063
SSTP_0000022400.1	987	819.63	107	1.29129
SSTP_0000022500.1	1188	1020.63	6212	60.2036
SSTP_0000022600.1	1329	1161.63	5830	49.6432
SSTP_0000022700.1	534	366.871	182	4.90701
SSTP_0000022750.1	105	14.6864	0	0
SSTP_0000022800.1	489	322.059	28	0.859966
SSTP_0000022900.1	3795	3627.63	353	0.962522
SSTP_0000023000.1	2838	2670.63	5922	21.9338
SSTP_0000023100.1	4818	4650.63	5158	10.9706
SSTP_0000023200.1	750	582.66	500	8.48817
SSTP_0000023300.1	987	819.63	6727	81.1825
SSTP_0000023400.1	2019	1851.63	1920	10.2567
SSTP_0000023500.1	2067	1899.63	1966	10.237
SSTP_0000023600.1	885	717.63	701	9.66221
SSTP_0000023700.1	891	723.63	37609	514.084
SSTP_0000023800.1	993	825.63	60956	730.281
SSTP_0000023900.1	1050	882.63	164	1.83791
SSTP_0000024000.1	813	645.63	267	4.0906
SSTP_0000024100.1	1827	1659.63	16822	100.259
SSTP_0000024200.1	4518	4350.63	336316	764.635
SSTP_0000024300.1	1113	945.63	23279	243.502
SSTP_0000024400.1	777	609.63	186	3.01791
SSTP_0000024500.1	558	390.833	837	21.1833
SSTP_0000024600.1	1233	1065.63	6628	61.5227
SSTP_0000024700.1	324	161.163	882	54.133
SSTP_0000024800.1	948	780.63	840	10.6437
SSTP_0000024900.1	279	119.762	3496	288.742
SSTP_0000025000.1	252	96.1041	999	102.821
SSTP_0000025100.1	624	456.685	9286	201.127
SSTP_0000025200.1	849	681.63	3	0.0435343
SSTP_0000025300.1	816	648.63	241	3.67518
SSTP_0000025400.1	1485	1317.63	6412	48.1348
SSTP_0000025500.1	1722	1554.63	112	0.712607
SSTP_0000025600.1	3468	3300.63	21732.3	65.128
SSTP_0000025700.1	870	702.63	130	1.8301
SSTP_0000025800.1	4347	4179.63	9714	22.989
SSTP_0000025900.1	1590	1422.63	550	3.8241
SSTP_0000026000.1	453	286.408	1576	54.429
SSTP_0000026100.1	5187	5019.63	11783	23.219
SSTP_0000026200.1	390	224.288	319	14.0684
SSTP_0000026300.1	1269	1101.63	3168	28.4452
SSTP_0000026400.1	1860	1692.63	146	0.853198
SSTP_0000026500.1	3183	3015.63	3953	12.9661
SSTP_0000026600.1	549	381.853	1611	41.731
SSTP_0000026700.1	3471	3303.63	46649.1	139.672
SSTP_0000026800.1	1287	1119.63	146	1.28984
SSTP_0000026900.1	1047	879.63	506	5.68996
SSTP_0000027000.1	2301	2133.63	536	2.48488
SSTP_0000027100.1	1866	1698.63	4276	24.8999
SSTP_0000027200.1	1617	1449.63	1921	13.1078
SSTP_0000027300.1	372	206.774	8609	411.827
SSTP_0000027400.1	885	717.63	1853	25.5408
SSTP_0000027500.1	2352	2184.63	1340	6.06717
SSTP_0000027600.1	3912	3744.63	5140	13.5773
SSTP_0000027700.1	645	477.685	701	14.5156
SSTP_0000027800.1	2274	2106.63	2006	9.41893
SSTP_0000027900.1	2451	2283.63	3250	14.0772
SSTP_0000028000.1	4629	4461.63	15563	34.5031
SSTP_0000028100.1	420	253.755	242	9.43322
SSTP_0000028200.1	564	396.794	37286	929.479
SSTP_0000028300.1	1332	1164.63	23670	201.034
SSTP_0000028400.1	1527	1359.63	833	6.06015
SSTP_0000028500.1	1332	1164.63	1955	16.6042
SSTP_0000028600.1	873	705.63	131	1.83634
SSTP_0000028700.1	414	247.817	531	21.1944
SSTP_0000028800.1	537	369.853	917	24.5245
SSTP_0000028900.1	990	822.63	3083	37.0705
SSTP_0000029000.1	1239	1071.63	4265	39.3671
SSTP_0000029100.1	1950	1782.63	541	3.00189
SSTP_0000029200.1	1050	882.63	5594	62.6907
SSTP_0000029300.1	1479	1311.63	18375	138.572
SSTP_0000029400.1	2124	1956.63	1580	7.98744
SSTP_0000029500.1	699	531.66	1068	19.8699
SSTP_0000029600.1	3162	2994.63	198	0.654005
SSTP_0000029700.1	570	402.794	69	1.69444
SSTP_0000029800.1	819	651.63	9565	145.192
SSTP_0000029900.1	1122	954.63	536	5.55378
SSTP_0000030000.1	645	477.685	1117	23.1297
SSTP_0000030100.1	732	564.66	783	13.7162
SSTP_0000030200.1	432	265.586	3065	114.152
SSTP_0000030300.1	1509	1341.63	479	3.53152
SSTP_0000030400.1	651	483.685	141	2.88347
SSTP_0000030500.1	3387	3219.63	1611	4.94935
SSTP_0000030600.1	4410	4242.63	2519	5.87289
SSTP_0000030700.1	321	158.326	30	1.87426
SSTP_0000030800.1	393	227.152	4	0.174181
SSTP_0000030900.1	1062	894.63	178	1.96805
SSTP_0000031000.1	240	86.0302	1373	157.862
SSTP_0000031100.1	285	125.207	1664	131.457
SSTP_0000031200.1	1701	1533.63	957	6.17235
SSTP_0000031300.1	819	651.63	2515	38.1765
SSTP_0000031400.1	621	453.685	489	10.6614
SSTP_0000031500.1	2079	1911.63	208	1.07626
SSTP_0000031600.1	53	19.2982	3	1.53767
SSTP_0000031625.1	381	215.531	3	0.13768
SSTP_0000031700.1	147	22.151	17081.4	7627.61
SSTP_0000031800.1	1608	1440.63	265	1.8195
SSTP_0000031900.1	20529	20361.6	7300	3.54625
SSTP_0000032000.1	3906	3738.63	87	0.230179
SSTP_0000032100.1	1305	1137.63	4	0.0347791
SSTP_0000032200.1	3048	2880.63	4	0.0137351
SSTP_0000032300.1	423	256.678	1	0.0385363
SSTP_0000032400.1	314	151.913	4	0.26045
SSTP_0000032500.1	1067	899.63	219.088	2.40887
SSTP_0000032600.1	1479	1311.63	779	5.87469
SSTP_0000032700.1	645	477.685	61	1.26313
SSTP_0000032800.1	558	390.833	2213	56.0078
SSTP_0000032900.1	648	480.685	631	12.9846
SSTP_0000033000.1	1581	1413.63	217	1.51839
SSTP_0000033200.1	1290	1122.63	233	2.05295
SSTP_0000033300.1	876	708.63	5	0.0697926
SSTP_0000033400.1	441	274.492	8945	322.337
SSTP_0000033500.1	495	328.01	5111	154.126
SSTP_0000033600.1	867	699.63	24	0.339314
SSTP_0000033700.1	1965	1797.63	85	0.467711
SSTP_0000033800.1	675	507.66	189	3.68254
SSTP_0000033900.1	906	738.63	457	6.11996
SSTP_0001290000.1	4290	4122.63	738	1.77068
SSTP_0000034100.1	5658	5490.63	23	0.0414347
SSTP_0000034200.1	270	111.897	0	0
SSTP_0000034300.1	1128	960.63	41	0.422169
SSTP_0000034400.1	3018	2850.63	9	0.0312292
SSTP_0000034600.1	1764	1596.63	39	0.241612
SSTP_0000034700.1	7104	6936.63	3938	5.61547
SSTP_0000034800.1	1242	1074.63	631	5.80804
SSTP_0000034850.1	441	274.492	28	1.00899
SSTP_0000034900.1	495	328.01	4	0.120623
SSTP_0000035000.1	1503	1335.63	165	1.22196
SSTP_0000035100.1	1602	1434.63	13	0.0896319
SSTP_0000035150.1	111	12.991	0	0
SSTP_0000035200.1	693	525.66	124	2.33333
SSTP_0000035300.1	2688	2520.63	68	0.266845
SSTP_0000035400.1	1164	996.63	51	0.506169
SSTP_0000035500.1	1149	981.63	38	0.382908
SSTP_0000035600.1	936	768.63	79	1.01664
SSTP_0000035700.1	1746	1578.63	176	1.10279
SSTP_0000035800.1	1272	1104.63	92	0.823816
SSTP_0000035900.1	990	822.63	18	0.216435
SSTP_0000036000.1	1515	1347.63	37	0.271575
SSTP_0000036100.1	122	13.6203	0	0
SSTP_0000036200.1	83	28.7907	1.01748	0.349567
SSTP_0000036300.1	309	147.372	8.10386	0.54392
SSTP_0000036400.1	6915	6747.63	3153	4.62202
SSTP_0000036500.1	2022	1854.63	78	0.416003
SSTP_0000036600.1	1293	1125.63	243	2.13535
SSTP_0000036700.1	495	328.01	607	18.3046
SSTP_0000036800.1	1767	1599.63	4256	26.3173
SSTP_0000037000.1	2256	2088.63	2631	12.46
SSTP_0000037100.1	1017	849.63	65	0.756733
SSTP_0000037200.1	354	189.402	0	0
SSTP_0000037300.1	354	189.402	0	0
SSTP_0000037400.1	1032	864.63	4	0.0457603
SSTP_0000037500.1	1242	1074.63	1192	10.9718
SSTP_0000037600.1	2499	2331.63	10584	44.9003
SSTP_0000037700.1	3366	3198.63	107	0.330886
SSTP_0000037800.1	3372	3204.63	1939	5.98493
SSTP_0000038000.1	1089	921.63	1470	15.7768
SSTP_0000038100.1	615	447.685	31	0.684933
SSTP_0000038200.1	1080	912.63	40	0.433535
SSTP_0000038300.1	1581	1413.63	786	5.49979
SSTP_0000038400.1	1338	1170.63	643	5.43313
SSTP_0000038500.1	1143	975.63	275	2.78809
SSTP_0000038600.1	435	268.546	7334	270.135
SSTP_0000038700.1	1113	945.63	2080	21.7571
SSTP_0000038800.1	456	289.393	19	0.649417
SSTP_0000038900.1	1563	1395.63	2002	14.189
SSTP_0000039000.1	1026	858.63	35	0.4032
SSTP_0000039100.1	753	585.66	288	4.86414
SSTP_0000039200.1	387	221.366	104	4.64708
SSTP_0000039300.1	834	666.63	18	0.267083
SSTP_0000039400.1	402	236.036	477	19.9894
SSTP_0000039500.1	4836	4668.63	11259	23.8544
SSTP_0000039600.1	1230	1062.63	2587	24.0809
SSTP_0000039700.1	984	816.63	1986	24.0554
SSTP_0000039800.1	2889	2721.63	17920	65.128
SSTP_0000039900.1	636	468.685	633	13.3592
SSTP_0000040000.1	1269	1101.63	48208	432.855
SSTP_0000040100.1	309	147.372	457	30.6732
SSTP_0000040200.1	1875	1707.63	512	2.96575
SSTP_0000040300.1	273	114.438	26931	2327.77
SSTP_0000040400.1	786	618.63	299	4.78079
SSTP_0000040500.1	606	438.729	337	7.59788
SSTP_0000040600.1	1386	1218.63	223	1.81006
SSTP_0000040650.1	213	64.4263	58	8.90479
SSTP_0000040700.1	13119	12951.6	2182	1.66644
SSTP_0000040800.1	1812	1644.63	434	2.61024
SSTP_0000040900.1	1062	894.63	3920	43.3413
SSTP_0000041000.1	411	244.891	3522	142.257
SSTP_0000041100.1	1635	1467.63	1094	7.37326
SSTP_0000041200.1	1152	984.63	336	3.3754
SSTP_0000041300.1	3246	3078.63	265	0.851427
SSTP_0000041400.1	1482	1314.63	3021	22.7304
SSTP_0000041500.1	936	768.63	1779	22.8938
SSTP_0000041600.1	1797	1629.63	1953	11.8542
SSTP_0000041700.1	1953	1785.63	189	1.04696
SSTP_0000041900.1	1980	1812.63	175	0.954966
SSTP_0000042000.1	1317	1149.63	188	1.61755
SSTP_0000042100.1	672	504.66	5086	99.6866
SSTP_0000042200.1	399	233.095	382	16.2103
SSTP_0000042300.1	4356	4188.63	10313	24.3541
SSTP_0000042400.1	2208	2040.63	6505	31.5313
SSTP_0000042500.1	1728	1560.63	1131	7.16839
SSTP_0000042600.1	1743	1575.63	11	0.0690554
SSTP_0000042700.1	330	166.763	18427	1092.98
SSTP_0000042800.1	2619	2451.63	2914	11.7569
SSTP_0000042900.1	693	525.66	112	2.10752
SSTP_0000043000.1	951	783.63	16	0.201961
SSTP_0000043100.1	1128	960.63	170	1.75046
SSTP_0000043200.1	942	774.63	2862	36.5455
SSTP_0000043300.1	1179	1011.63	4311	42.1517
SSTP_0000043400.1	2136	1968.63	283	1.42194
SSTP_0000043500.1	1272	1104.63	6828	61.1414
SSTP_0000043600.1	1137	969.63	87	0.887508
SSTP_0000043700.1	1323	1155.63	741	6.34247
SSTP_0000043800.1	2253	2085.63	1552	7.3606
SSTP_0000043900.1	642	474.685	1656	34.5075
SSTP_0000044000.1	1242	1074.63	198	1.82249
SSTP_0000044100.1	942	774.63	594	7.58492
SSTP_0000044200.1	1965	1797.63	400	2.20099
SSTP_0000044300.1	1491	1323.63	1106	8.26509
SSTP_0000044400.1	1422	1254.63	36	0.283822
SSTP_0000044500.1	1566	1398.63	366	2.58843
SSTP_0000044600.1	13179	13011.6	943	0.716868
SSTP_0000044700.1	15402	15234.6	5509	3.57684
SSTP_0000044800.1	672	504.66	1128	22.109
SSTP_0000044900.1	567	399.794	73	1.80612
SSTP_0000045000.1	537	369.853	10971	293.411
SSTP_0000045100.1	876	708.63	2817	39.3212
