target_id	length	eff_length	est_counts	tpm
SSTP_0000011200.1	4266	4097.16	7223.39	22.1836
SSTP_0000011300.1	1209	1040.16	830	10.0404
SSTP_0000011400.1	1704	1535.16	14	0.114749
SSTP_0000011500.1	1125	956.158	8	0.105277
SSTP_0000011600.1	1509	1340.16	1048	9.83965
SSTP_0000011700.1	1335	1166.16	60	0.647393
SSTP_0000011800.1	1947	1778.16	4700	33.2584
SSTP_0000011900.1	1470	1301.16	22	0.212749
SSTP_0000012000.1	276	117.388	41	4.39475
SSTP_0000012100.1	954	785.198	0	0
SSTP_0000012200.1	657	488.264	1	0.0257703
SSTP_0000012300.1	630	461.312	0	0
SSTP_0000012400.1	2034	1865.16	0	0
SSTP_0000012500.1	1518	1349.16	0	0
SSTP_0000012600.1	1299	1130.16	522	5.81173
SSTP_0000012700.1	2133	1964.16	21623	138.52
SSTP_0000012800.1	1809	1640.16	3308	25.3778
SSTP_0000012900.1	852	683.234	1123	20.6816
SSTP_0000013000.1	5814	5645.16	17480	38.9618
SSTP_0000013100.1	2250	2081.16	2641	15.9675
SSTP_0000013200.1	2292	2123.16	3353	19.8713
SSTP_0000013300.1	2688	2519.16	9096	45.4328
SSTP_0000013400.1	2172	2003.16	9823	61.7026
SSTP_0000013500.1	4689	4520.16	8490	23.6335
SSTP_0000013600.1	1974	1805.16	5622	39.1877
SSTP_0000013700.1	339	174.684	238	17.1434
SSTP_0000013800.1	3567	3398.16	6163	22.8204
SSTP_0000013900.1	759	590.264	101	2.15303
SSTP_0000014000.1	2292	2123.16	1834	10.869
SSTP_0000014100.1	1146	977.158	5830	75.072
SSTP_0000014200.1	1461	1292.16	872	8.49132
SSTP_0000014300.1	2505	2336.16	246	1.32497
SSTP_0000014400.1	1827	1658.16	7517	57.0418
SSTP_0000014500.1	645	476.312	2489	65.7518
SSTP_0000014600.1	792	623.234	793	16.0102
SSTP_0000014700.1	453	285.253	460	20.2909
SSTP_0000014800.1	2400	2231.16	2600	14.6628
SSTP_0000014900.1	1356	1187.16	2909	30.8326
SSTP_0000015000.1	1398	1229.16	766	7.84143
SSTP_0000015050.1	225	75.1439	20	3.34896
