Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR1466827_1	180.252	94.45512055279697	20706699.0	74.89712199495992	39.0	143.46358874827789	18.181818181818183	21922262.0
ERR1466827_2				70.63213221845453	39.0	143.5619110838106	18.181818181818183	21922262.0
ERR1466828_1	177.85	86.92479792446393	36978268.0	70.14795900427092	37.0	101.0	18.181818181818183	42540528.0
ERR1466828_2				69.72967680275025	37.0	101.0	18.181818181818183	42540528.0
ERR1466829_1	179.207	95.14986968847435	25173056.0	71.7360908445867	38.0	143.94074840707574	18.181818181818183	26456217.0
ERR1466829_2				67.4623923477708	38.0	144.0249261260595	18.181818181818183	26456217.0
ERR1466830_1	169.274	86.97343334315103	37127401.0	68.59997331686206	36.0	101.0	18.181818181818183	42688209.0
ERR1466830_2				68.33586749677295	36.0	101.0	18.181818181818183	42688209.0
ERR1466831_1	173.584	94.30513725852386	29693040.0	76.01957033560302	38.0	142.46803345040922	18.181818181818183	31486132.0
ERR1466831_2				71.91669681482558	38.0	142.59093984615194	18.181818181818183	31486132.0
ERR1466832_1	169.951	92.87954168127266	35674014.0	71.73435711142956	37.0	101.0	18.181818181818183	38408904.0
ERR1466832_2				71.35444819364662	37.0	101.0	18.181818181818183	38408904.0
ERR1466833_1	178.717	84.82405631815311	15438846.0	71.3925394109873	35.0	144.06902243901345	18.181818181818183	18201023.0
ERR1466833_2				68.26056526604471	35.0	144.23592124464653	18.181818181818183	18201023.0
ERR1466834_1	171.482	84.76924982568616	38707245.0	71.31135603772154	34.0	101.0	18.181818181818183	45661894.0
ERR1466834_2				71.00877954889745	34.0	101.0	18.181818181818183	45661894.0
ERR1466835_1	175.935	94.64356152910251	24439699.0	70.81489935754637	37.0	142.96667800802746	18.181818181818183	25822886.0
ERR1466835_2				67.78627704631111	37.0	143.07975038111542	18.181818181818183	25822886.0
ERR1466836_1	179.011	94.06043739796269	15049353.0	70.67370862117087	39.0	142.63160442816826	18.181818181818183	15999663.0
ERR1466836_2				66.019135742363	39.0	142.71334071223876	18.181818181818183	15999663.0
